Timesteps,AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
2021-05-11 02:55:00-02:00,-3.19261492,-3.790979793,-7.526520379,-3.918441962,-2.120621815,-6.229913261,-5.164134962,-4.25376388,-5.61150672,-2.550024209,-5.539090679,-5.214440676,-10.30831359,-4.946133129,-1.689810311,-4.064491908,-4.678824342,-3.839899764,-4.019576949,-0.956109941,-5.137788036,-2.58662696,-8.673672422,-4.54106109,-7.996356615,-2.69076525,-0.502877269,-18.39454891,-2.508340529,-6.349620135,-4.371171404,-4.555162285,-1.710965165,-2.574327471,-4.355778972,-7.034107294,-0.926516281,-0.837568437,-4.742165142,-1.233213591,-5.339678743,-3.623790349,-3.943056947,-2.005996559,-1.996010844,-40.14082957,-2.155599396,-2.483347959,-4.168559181,-5.487013118,-6.468984868,-2.738894598,-0.694865623,-2.177559453,-3.719255513,-10.44007211,-7.453754429,-2.282289995,-1.440668091,-1.750905735,-1.767647994,-1.349515313,-1.208265017,-1.459273941,-1.514021348,-1.230647192,-2.017941476,-5.758215381,-3.819218328,-2.392114887,-13.12059635,-12.04416445,-10.11014791,-4.898816659,-1.675511395,-4.880700788,-5.773802276,-2.879200739,-5.441035241,-4.602693625,-10.58316296,-1.43069243,-3.016546537,-3.164691217,-0.635813428,-5.493051849,-7.504855737,-1.745827114,-2.504005755,-6.877426761,-4.951029853,-2.066971243,-0.381374487,-5.834804278,-3.990439442,-0.956612086
2021-05-11 03:00:00-02:00,-3.269461684,-3.713904091,-7.52640591,-3.918193946,-2.043870441,-6.384064665,-5.241096196,-4.3306488,-5.611468564,-2.549986053,-5.615937444,-4.752730511,-10.15465822,-5.099979283,-1.843656465,-4.064415595,-4.063420648,-3.91693731,-4.01946248,-0.87922502,-4.906694477,-2.586512491,-8.212248429,-4.540927543,-8.150202769,-2.690688937,-0.272127116,-17.93310584,-2.508340529,-6.349333963,-4.448113559,-4.555047816,-0.864715929,-2.57413669,-4.432682971,-7.033973747,-0.926516281,-0.914052717,-4.74208883,-1.233213591,-5.031814732,-3.700541722,-4.01971293,-2.006053794,-1.995781906,-39.91004126,-1.309350159,-2.329425493,-4.091636104,-5.48708943,-6.546003336,-2.892702595,-0.618095171,-2.177502219,-3.796121356,-10.3629964,-7.376850431,-2.282328152,-1.440706247,-1.827771578,-1.844418445,-1.349515313,-1.20822686,-1.382312708,-1.514021348,-1.230647192,-2.171635004,-5.758100912,-3.819161094,-2.468541932,-13.04332987,-11.96687889,-9.879187893,-4.8217028,-1.829433862,-4.265068157,-5.773668729,-2.571508431,-5.518072787,-4.60284625,-10.50625896,-1.507577351,-3.093450536,-3.24165245,-0.712736505,-5.492822912,-7.504703112,-1.822635722,-2.503891286,-6.877274136,-5.104608913,-2.066856774,-0.381450799,-5.757957514,-3.990401286,-0.956821945
2021-05-11 03:05:00-02:00,-3.038616141,-3.559943468,-7.218599134,-3.764118855,-1.967119067,-6.153715153,-5.471884504,-4.176783568,-5.611449486,-2.549947897,-5.3850919,-4.598693576,-10.15494439,-4.792267897,-1.843637387,-3.987397128,-3.832613261,-3.840128702,-4.019348012,-0.879320411,-4.675619996,-2.509474945,-7.827766591,-4.463870919,-8.150336316,-2.767535701,-0.195261273,-17.93333478,-2.508321451,-6.502913023,-4.601978791,-4.554933347,-0.710774384,-2.573964986,-4.663433123,-6.879974968,-0.926516281,-0.913632998,-4.818935594,-1.233232669,-4.877854109,-3.777331252,-4.019483993,-1.852245796,-1.995552969,-39.14111574,-1.463081844,-2.252426103,-4.091636104,-5.25641559,-6.469194727,-3.046510593,-0.618247796,-2.177464063,-3.719160123,-10.36284378,-7.146100278,-2.436212462,-1.440725325,-1.981579575,-1.690419666,-1.349515313,-1.208188704,-1.305351475,-1.514021348,-1.230647192,-2.171482379,-5.757986443,-3.742180782,-2.391141902,-13.58156247,-12.04355395,-10.87911158,-5.052281249,-1.752568019,-4.264781985,-5.696593026,-2.648450586,-5.518187255,-4.602998875,-10.66018143,-1.507539195,-3.170373613,-3.164767529,-0.712736505,-5.33874782,-7.581473564,-1.745598176,-2.349911585,-6.569448281,-5.027399664,-1.835973074,-0.381527112,-5.604168594,-4.067286206,-0.880146884
2021-05-11 03:10:00-02:00,-3.03852075,-3.559867155,-7.372330819,-3.840812994,-1.736483384,-6.308076417,-5.318038351,-4.407571877,-5.611449486,-2.54990974,-5.615784818,-4.521598796,-10.0013081,-4.715306664,-1.84359923,-4.064205736,-3.90951726,-3.763377328,-4.09615662,-1.033281034,-4.59837259,-2.586264475,-7.520265065,-4.386814296,-7.765873557,-2.767459389,-0.349164662,-18.08754342,-2.662129448,-6.65651116,-4.60199787,-4.554818879,-0.710678993,-2.496889284,-4.663452201,-6.879822343,-0.926516281,-0.913213279,-4.818859281,-1.233270825,-4.877720562,-3.854235251,-4.019312289,-1.852283952,-1.995324031,-39.44924685,-1.539928609,-2.252349791,-4.014713027,-5.17962606,-6.546213195,-2.96954936,-0.618381343,-2.177425906,-3.796025965,-10.74728746,-7.223023355,-2.436250618,-1.517629324,-2.058464496,-1.767190118,-1.42643839,-1.208150548,-1.30529424,-1.514021348,-1.307570269,-2.094406677,-5.680948898,-3.588296472,-2.390664948,-13.65827569,-11.73567086,-11.87920697,-5.436724931,-1.829529253,-4.572169042,-5.696440401,-2.648469665,-5.749070955,-4.6031515,-10.7371999,-1.507501038,-3.170335457,-3.241690606,-0.789659582,-5.64621119,-7.735167092,-1.66856063,-2.426682037,-6.953949197,-5.027094413,-1.835858605,-0.304680348,-5.758033826,-4.144171127,-0.803490901
2021-05-11 03:15:00-02:00,-3.038406281,-3.559771765,-7.526062504,-3.840584056,-1.659674776,-6.23166845,-5.394942349,-4.561456187,-5.611449486,-2.549871584,-5.61567035,-4.521465249,-10.00136533,-4.638345431,-1.766637997,-3.98716819,-3.986497571,-3.840510265,-4.096042151,-1.187241656,-4.674933182,-2.58611185,-7.443551848,-4.232872751,-7.535142482,-2.767383076,-0.349202818,-17.93402159,-2.662072214,-6.656320379,-4.602016948,-4.55470441,-0.941410068,-2.496736659,-4.740394357,-6.879669718,-0.849593204,-0.912812638,-4.818782969,-1.233308982,-4.877548859,-3.777331252,-4.096063663,-1.852341187,-1.995095093,-39.44959026,-1.770678761,-2.252311634,-4.014713027,-5.179778686,-6.700097505,-3.123357357,-0.695418889,-2.177406828,-3.872872729,-10.43940437,-7.146100278,-2.513211851,-1.517591168,-2.135368495,-1.690114416,-1.503361467,-1.285035468,-1.305217928,-1.437098271,-1.307570269,-1.940426976,-5.757795662,-3.742123548,-2.467149228,-14.04264306,-11.81238408,-12.41774482,-5.898110767,-1.829567409,-4.725786258,-5.773249009,-2.648545977,-5.826108501,-4.52636197,-10.89110329,-1.507462882,-3.1702973,-3.318575527,-0.789659582,-5.492155177,-7.735014467,-1.668446161,-2.503471567,-6.876930729,-4.642192857,-1.912686291,-0.30475666,-5.834975982,-4.221056048,-0.880681072
2021-05-11 03:20:00-02:00,-2.961368735,-3.867368682,-7.372082803,-3.763432042,-1.582847089,-6.385972479,-5.548750347,-4.484571267,-5.611449486,-2.626756505,-5.615574959,-4.367523704,-9.924556723,-4.638269118,-1.766599841,-3.910130644,-4.063516039,-3.763777969,-4.095927682,-1.187375203,-4.597685777,-2.509036148,-7.52062755,-4.232796438,-7.381334485,-2.767306764,-0.118490822,-17.78034714,-2.661995901,-6.656148676,-4.755863102,-4.554589941,-1.249121454,-2.496603112,-4.586586359,-6.802632172,-0.926516281,-0.835450763,-4.818706656,-1.079481906,-4.646627003,-3.854235251,-4.172795958,-1.929340576,-1.994866156,-39.21916443,-2.078351991,-2.329234711,-3.937770872,-5.102989156,-6.853943659,-3.200242278,-0.695533358,-2.254310827,-3.949719494,-10.51615575,-6.992215968,-2.590173085,-1.517553011,-2.135368495,-1.613038714,-1.503361467,-1.284997312,-1.458987769,-1.514021348,-1.461416423,-2.017216506,-5.603911352,-3.742123548,-2.236017512,-13.42708674,-11.35067391,-11.95630175,-5.974862141,-1.829605565,-4.802575788,-5.69624962,-2.879410599,-5.826242048,-4.603399516,-11.04494944,-1.507424726,-3.247144065,-3.318556449,-0.789659582,-5.261176086,-7.657957843,-1.668312614,-2.580280175,-6.723027341,-4.795771916,-1.989513978,-0.227928974,-5.758091061,-4.297940968,-0.804025089
2021-05-11 03:25:00-02:00,-2.961254267,-3.790350214,-7.448853255,-3.763203104,-1.429096326,-6.155622968,-5.394866037,-4.484609423,-5.611430408,-2.626718348,-5.615536803,-3.906023399,-9.463113652,-4.407385419,-1.689657686,-3.910016175,-3.986688353,-3.994718904,-4.095813213,-1.341316748,-4.212822377,-2.278114292,-7.36683863,-4.23268197,-7.304430486,-2.767249529,-0.195490211,-16.85744192,-2.738842665,-6.578996661,-4.525093871,-4.554475472,-1.172198377,-2.419565566,-4.355931597,-6.802574938,-0.772670127,-0.988781807,-4.818649422,-1.156404983,-4.800396844,-3.777274018,-4.0956821,-1.929416889,-1.994675374,-39.29660262,-1.847544604,-2.329234711,-3.937732716,-5.180026701,-6.853924581,-3.277127198,-0.695647827,-2.254272671,-3.949643181,-10.43908004,-7.069043654,-2.590211241,-1.517514855,-2.135368495,-1.459039935,-1.503361467,-1.131113002,-1.382007458,-1.514021348,-1.307570269,-1.863236805,-5.373103965,-3.819084781,-2.235635949,-13.6577415,-10.96596314,-12.18729992,-5.743921207,-1.8296628,-4.725538242,-5.696154229,-2.879486911,-5.59564452,-4.449686909,-10.89106513,-1.584309646,-3.170106519,-3.395517682,-0.789659582,-4.876350842,-7.503997221,-1.745063988,-2.580184784,-6.415315955,-4.64163959,-1.989399509,-0.228081599,-5.527359986,-4.451768044,-0.804311262
2021-05-11 03:30:00-02:00,-2.961139798,-3.790254823,-7.371777552,-3.686032011,-1.429229873,-6.002139298,-5.394846959,-4.330782347,-5.688315328,-2.626680192,-5.615498646,-3.75232987,-9.693921039,-4.638040181,-1.766580763,-3.756055553,-3.986783743,-4.071794606,-4.095679666,-1.418354294,-4.289535594,-2.20103859,-7.059241713,-4.155606267,-7.381315406,-2.767211373,-0.349412678,-16.39615148,-2.738766353,-6.578748645,-4.678959103,-4.554361003,-1.403005764,-2.265604944,-4.433007299,-6.87944078,-0.772670127,-0.834363309,-4.741688189,-1.156404983,-4.646512534,-3.777216783,-4.172376239,-1.929493202,-1.994522749,-38.91257866,-1.770602449,-2.406157788,-3.706944407,-5.026295016,-6.930771345,-3.123242888,-0.695762296,-2.254234515,-3.795720715,-10.59279265,-7.222832573,-2.590287553,-1.594399776,-1.827695265,-1.381964233,-1.503361467,-1.131074846,-1.381969301,-1.514021348,-1.230647192,-1.632353106,-5.757643037,-3.742257095,-2.312139307,-13.11918457,-10.73513667,-11.80302794,-5.743825816,-1.983585266,-4.95623116,-5.772962837,-3.110351533,-5.672796535,-4.372916458,-10.50639251,-1.58427149,-3.093068973,-3.318689996,-0.789659582,-4.953064059,-7.350036598,-1.667988286,-2.503185394,-6.261527036,-4.487469108,-1.989304118,-0.228272381,-5.60432122,-4.451768044,-0.650789436
2021-05-11 03:35:00-02:00,-2.884102252,-3.713255434,-7.140836618,-3.608860918,-1.275517266,-6.156309781,-5.471770036,-4.330801426,-5.68829625,-2.626642036,-5.615422334,-3.21409727,-9.694054586,-4.791771865,-1.766580763,-3.909768159,-3.756128982,-3.994985998,-4.095546119,-1.418468762,-4.289249422,-2.277751807,-6.905624497,-4.386165639,-7.765816322,-2.767173217,-0.349469912,-16.3964758,-2.661766963,-6.424654476,-4.832843413,-4.477323457,-1.633851307,-2.265490475,-4.04854454,-6.648614315,-0.772670127,-0.833714652,-4.741650032,-1.156404983,-4.569494066,-3.700236472,-4.09516699,-1.929569514,-2.071293201,-38.06688269,-1.847525526,-2.406157788,-3.860790561,-5.103332562,-6.930637798,-3.123185654,-0.695876765,-2.254196358,-3.949471478,-10.82344741,-7.299851041,-2.667267865,-1.594361619,-1.981541419,-1.535657762,-1.503361467,-1.207959766,-1.458835144,-1.51400227,-1.307570269,-1.863007868,-5.834432567,-3.896217718,-2.311624197,-12.96522395,-10.42736805,-11.72642919,-5.820710737,-1.983661579,-5.033116081,-5.772848368,-3.033523847,-5.673025473,-4.526896159,-10.5832202,-1.584214256,-3.09299266,-3.472669697,-0.789659582,-4.952816043,-7.349922129,-1.667873817,-2.580032159,-6.261546114,-4.487163858,-1.989208727,-0.305367161,-5.758167373,-4.451768044,-0.881902074
2021-05-11 03:40:00-02:00,-2.883968705,-3.79008312,-7.448338145,-3.608612902,-1.12180466,-6.079768267,-5.702558345,-4.330820504,-5.68829625,-2.62660388,-5.692211864,-3.060556366,-9.8481106,-4.868561395,-1.766580763,-3.986538611,-3.756205294,-3.918139233,-4.018508573,-1.264660765,-4.288829703,-2.277503791,-6.905853435,-4.539782855,-7.765644619,-2.76713506,-0.349508068,-16.16616445,-2.661690651,-6.578252613,-4.75597757,-4.477208988,-1.710850697,-2.41922216,-3.894851011,-6.64855708,-0.772670127,-0.832970605,-4.741611876,-1.23332806,-4.33857221,-3.777083236,-4.171746661,-1.929645827,-2.071140576,-38.75968641,-2.001352601,-2.406157788,-3.860752404,-5.103447031,-6.930485173,-3.046186264,-0.69602939,-2.408004356,-4.18012624,-11.05410217,-7.684676285,-2.667306021,-1.594323463,-2.05842634,-1.381678061,-1.580284544,-1.20792161,-1.612585907,-1.667810268,-1.307589347,-1.7859894,-5.834279942,-3.81940911,-2.234186011,-13.1959741,-10.42723451,-11.80375291,-5.359134119,-1.983737891,-5.109981923,-5.695810823,-3.187446313,-5.673216254,-4.450106629,-10.81393219,-1.584137943,-3.092916348,-3.472879556,-0.866582659,-4.875702185,-7.503653814,-1.590836271,-2.579936768,-6.338411956,-4.333126922,-2.066017335,-0.305538864,-6.065878759,-4.374902202,-0.959225792
