Timesteps,AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
2021-05-11 02:55:00-02:00,-2.81103296,-2.799202473,-5.800196356,-2.75480872,-0.191573433,-4.372789482,-4.934701202,-3.51866391,-2.343401562,-1.548364411,-5.107581216,-0.675273246,-2.792059012,-2.904619088,-0.822765897,-1.8499391,-1.913256576,-3.080627786,-3.037758421,-0.815446784,-2.100337639,-1.02494732,1.115304227,-2.880365883,-5.296741994,-1.232870714,0.321832744,-8.18157959,-0.604379906,-2.529527034,-4.570576166,-2.569184721,-1.453162205,-1.560476739,-2.918126347,-4.825640414,-0.276638381,-0.008680312,-3.340570209,-0.634312492,-4.040380818,-2.884187937,-3.284880055,-2.137292347,-0.512055563,-28.83596083,-1.635548267,-0.406424882,-2.637328259,-3.604267391,-5.197769972,-2.810094231,-0.519041447,-1.258622488,-3.974540159,-9.892643841,-6.317364777,-2.315028091,-1.023715252,-1.76473739,-1.494010173,-1.138911681,-0.905304089,-1.102722506,-0.796473271,-0.996157723,-0.875847459,-3.971261016,-3.318245343,-1.635361224,-9.920447543,-7.768943145,-6.527501385,-3.201815743,-0.443311304,-2.505815257,-3.196497636,-2.266925861,-4.924914209,-3.283115633,-9.928515526,-1.062503328,-2.402802642,-2.474329495,-0.651190413,-4.566903345,-6.975971427,-1.270571466,-1.522397085,-5.380097701,-3.54275757,-1.437354332,-0.471995671,-5.389024364,-2.656056811,-1.040174357
2021-05-11 03:00:00-02:00,-2.810918491,-2.568376008,-5.5692745,-2.523886865,-0.42238082,-4.373094732,-4.626818113,-3.518587598,-2.266478485,-1.625287488,-5.184904934,-0.444465859,-3.099999336,-3.212387708,-0.822823131,-1.849862787,-2.144121198,-3.08058963,-2.883912267,-0.661600631,-2.407801009,-1.101870397,-0.115541317,-3.418960968,-5.527682928,-1.002139639,0.167967512,-8.335807306,-0.604532531,-2.37568088,-4.72442232,-2.569184721,-1.376220049,-1.714380127,-3.072010657,-4.67179426,-0.199715304,-0.08548892,-3.263723445,-0.634388805,-3.579109451,-2.730513487,-3.361879444,-2.137368659,-0.665863561,-27.91379966,-1.404721802,-0.71411719,-2.791212569,-3.758189858,-5.044400771,-2.963902229,-0.51911776,-1.104719099,-3.897559848,-9.96964323,-6.39423062,-2.314989934,-1.023696174,-1.687757078,-1.340106785,-1.215796601,-0.905265932,-1.025723117,-0.71949296,-0.996100489,-0.721924992,-3.894376095,-3.241245953,-1.558247366,-9.997637714,-7.307595465,-6.912612802,-2.509622519,-0.366502696,-3.12112356,-3.658074254,-2.189926472,-4.924761584,-3.206249791,-10.00534321,-1.06248425,-2.249032801,-2.551214416,-0.497344259,-4.48996119,-6.745183118,-1.039725923,-1.522358929,-5.226194313,-3.388873259,-1.437316175,-0.472091062,-5.157988039,-2.50228697,-1.040441451
2021-05-11 03:05:00-02:00,-2.656976947,-2.491376618,-5.722987107,-2.677561315,-0.422399898,-4.21953475,-4.3958581,-3.210818977,-2.343401562,-1.856056718,-4.80080466,0.017110758,-3.407863347,-3.212444942,-0.822880366,-1.695921242,-2.067331668,-3.234397628,-2.730066113,-0.584696632,-2.484514226,-1.02494732,-0.19250255,-3.188325285,-5.220086011,-1.079100872,0.01410228,-8.182285481,-0.527743001,-2.144911649,-4.724441398,-2.492261644,-1.299335129,-1.483687209,-2.533644509,-4.594871183,-0.353561458,-0.008451374,-3.263799758,-0.711350038,-3.579262076,-2.499896881,-3.28503268,-2.060521895,-0.358114019,-26.53004279,-1.481606722,-1.021771341,-2.714327648,-3.835189247,-5.121858036,-2.502325611,-0.442270995,-0.950796633,-3.359021997,-9.508181081,-6.086462,-2.238028701,-0.94673494,-1.379988458,-1.186184318,-1.292681522,-0.751381622,-1.025646804,-0.719416647,-0.842178022,-0.491079449,-3.586683788,-3.164246564,-1.558056584,-9.767135577,-6.76930563,-7.066993144,-2.125140682,-0.52044424,-3.274874323,-3.965804718,-2.189831081,-4.539993574,-2.744787642,-9.543690282,-0.908599939,-2.095243881,-2.474253183,-0.497344259,-4.259191959,-6.745144962,-1.039649611,-1.522320773,-5.072310003,-3.081142795,-1.437278019,-0.472205531,-4.465451409,-2.271574973,-0.809939314
2021-05-11 03:10:00-02:00,-2.656881556,-2.491300305,-5.799795715,-2.600466535,0.116042563,-4.296724921,-4.241821165,-3.287665742,-2.343401562,-1.856056718,-4.878338237,0.478687376,-3.023362431,-3.135560022,-0.899841599,-1.54196062,-1.836715062,-3.234359471,-2.499296882,-0.584734788,-2.484323445,-1.101870397,0.422767597,-2.957670523,-5.297066322,-0.925292875,0.01410228,-7.413321806,-0.681703624,-1.914161496,-4.493729402,-2.415338567,-1.145603444,-1.099167215,-2.379874668,-4.287178875,-0.276638381,-0.008336905,-3.033106839,-0.711369116,-3.040915006,-2.346222431,-3.208204994,-2.060598208,-0.281133707,-24.83849822,-1.404702724,-0.790944876,-2.483596574,-3.604496329,-4.891642072,-2.502287455,-0.442347308,-0.796874167,-3.512791838,-9.431353395,-5.778693379,-2.161067468,-0.79285063,-1.302989069,-1.109184929,-1.292643366,-0.751343466,-0.948647415,-0.642417258,-0.688255556,-0.337156982,-3.202049325,-2.856477944,-1.634807958,-9.844344826,-6.53863179,-7.298296562,-1.279101304,-0.520539631,-2.813278627,-3.581227489,-2.189792925,-4.462917872,-2.514094724,-9.69738381,-0.754715629,-1.941435884,-2.243445796,-0.420421182,-4.259191959,-6.437414498,-0.808804067,-1.368436463,-4.841502616,-3.004181562,-1.360316786,-0.472339078,-4.157530163,-1.963901744,-0.810206408
2021-05-11 03:15:00-02:00,-2.502920933,-2.260454762,-5.184296631,-2.523390833,0.269888716,-4.220068938,-4.626245768,-2.902974045,-2.343401562,-1.856056718,-4.494295197,1.017167993,-2.638842437,-2.904790791,-0.899860677,-1.464903996,-1.759906454,-3.157398238,-2.191604574,-0.738619098,-2.099498201,-0.948024243,1.576461125,-2.803900681,-5.22020048,-0.925331031,-0.139743874,-6.182781513,-0.758722092,-1.760334421,-4.493786636,-2.184569336,-1.145756069,-0.714685377,-2.687605132,-3.748717337,-0.199715304,-0.008203358,-2.648567767,-0.634484195,-3.040991319,-2.038720904,-2.900627155,-2.06067452,-0.05032632,-22.83916596,-1.250913804,-0.329387337,-2.560557807,-3.373822489,-4.815253183,-2.579172376,-0.519346697,-0.873720931,-3.435792449,-8.969910324,-5.70169399,-2.161029312,-0.715889397,-1.379835833,-0.955262463,-1.061835979,-0.674382233,-0.948571102,-0.488494792,-0.842025397,-0.106311439,-3.278934246,-2.856401631,-1.403886102,-9.229227305,-6.6925161,-6.991100286,-0.509908691,-0.366788868,-2.505605397,-3.658207801,-2.189831081,-4.308919093,-2.514171036,-9.466423798,-0.677754396,-1.710704809,-2.397253793,-0.420421182,-3.797653498,-6.206607111,-0.885650832,-1.29147523,-4.533772152,-2.619528021,-1.437201707,-0.472491703,-4.00347415,-1.810036512,-0.733550425
2021-05-11 03:20:00-02:00,-2.348960311,-1.875763065,-4.414951393,-2.292468977,1.19296564,-3.912662803,-4.549112832,-2.287513117,-2.266478485,-1.779133641,-4.417944464,1.094052914,-2.023534134,-2.750925559,-0.899860677,-1.541693526,-1.529213536,-3.003533006,-1.653143036,-0.584811101,-1.791557877,-0.948024243,2.268616193,-2.265477299,-4.912546328,-0.463830726,-0.293590028,-4.106049217,-0.758817482,-1.52956519,-4.570728791,-1.953800106,-1.222831771,-0.714838002,-2.37995098,-2.594871183,-0.122792227,0.145814499,-2.494797926,-0.557599275,-3.194875629,-1.654296301,-3.0545687,-2.060769911,0.10355799,-20.14743061,-1.097143963,-0.25246426,-2.63751904,-2.989321573,-5.046594758,-2.579134219,-0.51942301,-0.796721541,-3.051100751,-8.508429097,-5.317002293,-1.930221925,-0.562005087,-1.302836443,-1.032109227,-0.907951669,-0.597421,-0.563879405,-0.642264633,-0.688102931,-0.02931205,-3.125049935,-2.702479165,-1.326791322,-8.998648855,-6.307938872,-6.453020311,-0.509889613,-0.597634411,-1.967182015,-3.350591805,-2.189831081,-4.077997237,-2.283478118,-9.312386863,-0.523851008,-1.787666043,-2.32029256,-0.343498105,-3.259191959,-6.052722801,-0.731728365,-1.291437073,-4.226041688,-2.465643711,-1.43716355,-0.472644328,-3.926341214,-1.886921432,-0.733836597
2021-05-11 03:25:00-02:00,-2.19498061,-1.644917522,-4.337894769,-2.292316352,0.654504101,-3.374487436,-3.856576202,-2.287436804,-2.035709254,-1.702210564,-4.187785734,1.093976601,-1.562091064,-2.597079405,-0.59216837,-1.46465598,-1.606212925,-2.695840698,-1.114681497,-0.661791412,-1.252829245,-0.717255012,2.960752182,-2.419361609,-4.297218947,-0.463868882,-0.370513105,-3.029316922,-0.758931951,-1.068026728,-4.493786636,-1.953800106,-1.223003474,-1.176529089,-1.995430987,-2.594871183,-0.04586915,0.146005281,-2.417951162,-0.634560508,-2.887221478,-1.577564006,-2.977721935,-2.06088438,0.026673069,-17.91715741,-1.251085507,-0.021695029,-2.637557197,-2.912512965,-4.662589874,-2.502172986,-0.5964224,-0.719722152,-2.897178285,-8.046928792,-4.855387519,-1.930183768,-0.561966931,-1.225837054,-0.955109837,-0.754067358,-0.597382843,-0.640726169,-0.64218832,-0.611103541,-0.029235737,-2.971165625,-2.625479775,-0.865062079,-8.075705479,-6.077226875,-7.068710177,-0.894504998,-0.520768569,-2.274912479,-2.966052733,-2.189792925,-4.154767689,-2.283554431,-8.85065762,-0.600697772,-1.787704199,-2.243331327,-0.112728874,-2.874576575,-5.821915414,-0.731671131,-1.291398917,-3.918311224,-2.311759401,-1.437125394,-0.472796953,-3.695343045,-1.733037122,-0.657218771
2021-05-11 03:30:00-02:00,-2.040981831,-1.721764286,-3.645434451,-1.984471419,0.654504101,-2.451696686,-3.779443265,-2.056591261,-1.651093869,-1.394518257,-4.188396235,1.324669519,-1.716032608,-2.520156328,-0.746014523,-1.464541511,-1.067846778,-2.388148391,-0.576219959,-0.584906491,-1.098735075,-0.717255012,3.268253708,-2.496341921,-4.220391261,-0.310060885,-0.370532183,-1.798795707,-0.759027342,-0.52956519,-4.493786636,-1.799953952,-1.069348102,-0.945912483,-1.995583612,-2.056409645,-0.353561458,0.146176984,-2.26418132,-0.711521741,-2.194932864,-1.193139402,-2.593201941,-2.060998849,0.180557379,-15.99463375,-1.020411667,0.362920356,-2.71451843,-2.75878128,-4.74014253,-2.194442522,-0.519575635,-0.796568916,-2.435563511,-7.50850541,-4.778388129,-1.314760997,-0.331159544,-0.841145357,-0.647341217,-0.677106125,-0.52042161,-0.56372678,-0.411342777,-0.534104152,0.278532883,-2.509589008,-2.317692077,-1.018717451,-7.845069795,-5.769687193,-7.068996349,-0.971466231,-0.597729802,-1.582642943,-3.043052123,-1.651312308,-3.462307371,-2.12978459,-8.465851454,-0.446775306,-1.556973124,-2.089447017,-0.266575028,-2.720730421,-5.51418495,-0.885479128,-1.06059153,-3.764426914,-2.311721245,-1.283241084,-0.472949578,-3.310498723,-1.11761435,-0.657543099
2021-05-11 03:35:00-02:00,-1.733136898,-1.875572283,-2.722223981,-1.522780332,1.42373487,-1.836655477,-3.471541098,-1.594976487,-0.8818631,-1.31759518,-4.112083658,1.401516283,-1.869916918,-2.212464021,-0.746014523,-1.233657811,-0.837134781,-2.234302237,0.039164656,-0.508002493,-0.867755985,-0.563427936,3.498832157,-2.57334131,-3.759024503,-0.156252887,-0.216724186,-1.029870188,-0.759103654,-0.068045806,-4.493824793,-1.107646259,-0.992615806,-0.715295878,-2.149582391,-1.210255798,-0.507407612,0.300175763,-1.956546247,-0.788482974,-1.271855941,-0.808695721,-2.362547179,-1.907267164,0.257518612,-14.61064795,-1.174334134,0.055228048,-2.483787355,-2.758895749,-4.35619488,-1.963635135,-0.596575025,-0.873415681,-2.050852736,-6.970082027,-4.547542586,-1.083972688,-0.100352157,-0.610299813,-0.493418751,-0.523221815,-0.443460377,-0.409804314,-0.488189541,-0.380181685,0.43245535,-2.124935467,-2.163731454,-0.941603593,-7.460587958,-5.308377669,-6.838494212,-0.894562232,-0.443921804,-2.198065715,-2.735436128,-1.959004616,-2.769847054,-1.899091671,-8.081045288,-0.446698993,-1.480107282,-1.85863963,-0.266575028,-2.413057191,-5.129512331,-0.808517895,-1.214399527,-3.302869374,-2.388606165,-1.206279851,-0.473102204,-2.694904248,-0.886806963,-0.580963429
2021-05-11 03:40:00-02:00,-1.502215042,-1.490956899,-2.491340281,-1.599550784,1.346811793,-1.836998883,-3.394389083,-1.056438636,-0.728016946,-1.009902872,-3.42034831,1.324516894,-0.716070765,-2.135540944,-0.8229376,-1.079697189,-0.52948063,-1.772763775,0.346856964,-0.431098494,-1.406026742,-0.255754707,4.344795222,-2.342686548,-3.528465132,0.228324341,-0.293685419,0.431286711,-0.68225689,-0.298853193,-4.72463218,-0.799953952,-0.915883511,-1.100063888,-1.688196554,-0.517948106,-0.507407612,0.223405311,-1.80273825,-0.788521131,-1.348817174,-0.347309885,-2.054969341,-1.753535479,0.334479846,-14.45743137,-0.789795062,-0.25246426,-2.176133204,-3.066702526,-4.126150619,-1.809750825,-0.596651337,-0.950262445,-2.050738267,-6.354735568,-4.009004735,-1.08395361,-0.177237077,-0.456377347,-0.339496284,-0.446260582,-0.366499144,-0.255881847,-0.565036306,-0.45702845,0.509454739,-2.12489731,-1.855943756,-0.941412811,-8.076048886,-6.000876143,-6.607915763,-0.509908691,-0.443959961,-1.890411563,-3.043204748,-1.959023694,-2.154309813,-1.74532183,-7.619316045,-0.523564836,-1.326337441,-1.320139935,-0.189651951,-2.259249194,-4.437128326,-1.03924897,-1.214361371,-2.764407835,-2.234702777,-1.283164771,-0.473254829,-2.233175005,-0.194461115,-0.50436468
