AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
-1.767819601,-1.289298191,-1.365648017,-1.691590565,1.222663496,-2.737877023,-2.944741756,-1.343476127,1.707354478,0.392133583,-3.842258741,-1.181728473,0.18969138,-1.033158083,-0.054700257,-1.238477768,0.998020515,-1.306920467,-0.01350056,-0.847217345,-0.691850045,1.680642849,6.319590268,-1.559444245,-1.662449575,0.658327993,-0.241589821,0.68913873,-0.613864469,0.250240322,-4.090281164,-0.257563678,-0.096633936,0.367846674,-2.208850008,-0.597546211,0.556295674,0.190570462,-0.497036882,-0.363137115,-2.053152273,-0.555182617,-1.403623786,-1.266035751,0.274514513,-15.08380636,0.374758019,1.038642327,-1.253854838,-3.004687656,-3.389899147,-0.918195084,-0.360782791,-1.105633488,-2.755837855,-6.895579149,-4.023709896,-1.862877439,-0.949792894,-1.299726706,-0.354836475,-0.606502002,-1.041964923,-0.695412307,-0.473961334,-1.024908486,0.149777214,-2.628609372,-2.404737472,-0.215588908,-6.910081297,-4.505453535,-6.177929826,-0.652318861,-0.549806867,0.205822684,-1.309444337,-0.798366643,-2.038008084,-2.028788983,-7.082053704,-1.000928618,-1.52082413,-1.882892039,1.013734692,-1.246502268,-4.738830096,-1.000825587,-2.235354143,-3.20340547,-2.352740617,-1.324463502,-0.068840419,-3.081135824,-0.777273887,-0.578089443
-0.696284737,-0.146246178,-0.079933732,-0.619984839,2.151270356,-2.023927902,-1.873242323,-0.986368701,2.921657908,1.320705012,-3.556810187,-0.824691908,2.3324068,-0.533122653,0.016692883,-0.738442337,1.569254217,-1.163921601,0.843606866,-0.918699063,0.094236264,3.466605151,8.605056538,-1.059320237,-0.662573583,1.229721134,-0.170214396,4.260514155,-0.471007326,0.464543752,-3.73328003,1.028327762,-0.09681109,0.439416969,-1.280491165,1.116704072,0.699188248,0.334047645,0.431499115,-0.07745826,-1.767384841,0.30196024,-1.046569506,-1.051927191,0.560228799,-10.37109732,0.87479345,1.610017752,-0.825265694,-2.361883659,-3.24729002,-0.203873939,-0.218067372,-0.891383204,-1.755784708,-5.252615714,-3.666549323,-1.720055727,-0.878364323,-0.728156411,-0.140603907,-0.392251719,-0.970571782,-0.33826945,-0.045496198,-0.882051343,0.007061795,-1.842824225,-2.047683192,0.356229402,-5.409850996,-3.29093752,-5.392534418,-0.438121723,-0.549895444,0.920161544,-0.166551763,-0.6555095,-0.823669224,-0.600323847,-5.725017139,-1.072321758,-1.449306981,-1.954497765,1.085163264,-1.103503402,-3.953027233,-1.072112435,-2.306623276,-3.060388888,-2.209777182,-1.467196637,0.00248186,-1.723886674,0.365494678,-0.292640888
-0.267607016,0.353930976,1.420066268,0.09447803,2.508413213,-1.381371921,-0.444600033,0.370738726,3.99312191,2.463562155,-2.842772488,0.460933801,3.475139935,0.966912778,0.088086024,0.047307379,3.140541065,-0.520905019,1.557857149,-0.775895066,0.308894002,4.324013739,10.60487938,-0.344857369,0.62299898,1.801114275,-0.170285257,6.974782154,-0.328167899,0.750311184,-2.590546895,1.314236917,0.045868898,1.153844407,-0.352150036,3.402382927,0.27065225,0.406113972,1.71717797,0.208220595,-0.838777982,1.373406527,-0.475211797,-0.552104345,0.917371656,-5.658299701,1.160543166,1.895661176,0.174769737,-1.147633376,-2.176074034,0.439018635,0.067505191,-0.962829491,-0.612856704,-3.109669994,-1.380835037,-1.505787728,-0.73550718,0.129145885,-0.212085625,-0.249412291,-0.970589498,0.018891123,0.525843796,-0.667747914,0.007221234,-1.557021362,-1.404914626,1.142351143,-3.981049267,-2.790689504,-3.89283558,0.490361128,-0.407109163,2.491660977,0.833483668,-0.012652357,-0.323598362,0.756712718,-3.582195427,-1.143714899,-0.877772117,-0.883228632,1.299448978,0.396673752,-3.238599796,-1.071970712,-1.877910124,-1.41731916,-2.138224603,-1.109947488,0.073804139,-1.152369526,1.365423817,-0.507210049
0.661070705,1.639804701,4.205762839,1.237494611,2.508377782,-0.524547941,1.912631401,1.299274724,5.636014484,3.320705012,-2.342931927,1.24659494,4.83221193,1.038394496,0.088032878,0.26164624,4.640417057,0.479236704,3.12925029,-0.418805355,0.73785517,5.181440043,12.89050509,-0.20175221,1.980000113,2.301096559,-0.170320688,10.7605673,0.171814386,1.536114047,-0.73351033,2.385878073,0.474263173,1.582557558,0.576226523,5.473776068,0.627830538,0.335394017,3.145713968,-0.006082835,0.018418022,2.873441958,0.310467058,-0.0522815,1.560228799,-0.445342644,1.58913231,2.181304601,0.460537169,-0.790525949,-2.104734039,2.010500353,0.138792039,-0.534258062,1.744357015,-0.966706559,1.190628965,-0.577198584,-0.806935752,0.843608753,0.145021802,0.036266564,-0.684892927,0.804623124,1.097183791,-0.024908486,0.435952101,-0.628343641,0.023585941,1.357044312,-1.195086966,-0.290406057,-2.5360116,2.704629127,-0.550019452,4.063178126,3.762090527,1.058776214,0.962186785,1.828052712,-0.296481142,-1.000822325,0.693815893,0.616629645,1.156591835,2.111189767,-1.738440357,-0.714703847,-1.377768401,1.511500284,-1.280940022,-0.324126909,0.359412132,0.27629048,3.36537067,-0.507582073
1.661176998,2.782821282,7.277155979,2.451939764,2.579788638,-0.167706246,3.269880551,3.227828437,6.850335629,4.106419298,-1.414413645,2.389416652,8.689390218,1.967019071,0.230819159,0.761734817,5.926042765,1.050824715,4.057786288,0.724016357,1.024012341,5.967455491,12.46189823,0.227155812,2.694232681,2.443935987,-0.313177831,12.83220846,0.957528672,2.679112913,0.90924052,3.2432158,1.116943161,1.51127071,2.004673943,7.116615495,0.985008826,0.478995207,4.28853568,0.708202879,0.304291746,3.873477388,1.167663062,0.447541346,1.774514513,6.196345282,2.303418025,3.538376596,1.246304601,0.138010048,-1.390395179,5.224839213,0.210078887,-0.034293493,2.315874164,1.104828305,4.619271255,0.065729421,-0.664078609,1.129500193,0.359272085,0.464802561,-0.399214073,1.304623124,1.597077498,-0.024943917,0.507522396,0.086030651,1.452086508,1.643183768,1.162374769,1.138537395,0.678008383,4.347557131,-0.192929741,4.634695274,6.476411672,2.558776214,1.60511479,3.042249849,2.560697146,-1.000786894,2.336832475,2.830773636,1.228020406,3.611437783,0.047380221,-0.428883269,-0.877626677,4.797498017,-0.637941156,0.03312224,0.216448697,1.633504199,4.508174667,-0.436525526
2.87558672,3.640141294,9.134263406,3.809259776,2.865502924,0.760599451,5.484272558,4.799239293,7.993228202,4.677847869,-0.55737708,3.817917219,10.90374679,2.252768787,0.302176869,1.261841109,6.568811331,1.622412725,4.98630457,0.509695211,2.024437511,6.682006936,12.31900566,0.727474689,4.62280411,3.372471984,-0.24174926,14.97522504,1.10040353,3.750700923,1.480562799,4.386250097,1.045337436,1.940001578,2.933139079,9.545186924,0.913615685,0.479668393,5.85992882,0.851077738,1.161629473,4.444923675,1.810626497,1.304507049,2.060228799,10.76669321,1.874846596,3.32402002,1.674911461,0.709385474,-0.818948892,9.153446073,0.209937163,0.251385362,2.887426743,1.819238027,6.190735258,0.137246569,-0.521221466,1.201105919,0.359236654,0.679088276,-0.327820932,1.447497982,2.239828349,0.189341797,0.650521262,0.871851229,2.309158503,1.857894652,2.877014792,3.496105422,2.320688371,5.561895992,0.021302827,6.420480422,8.047857959,2.701633357,3.176614223,3.327857842,3.846446863,-1.000751464,3.336974198,3.116346198,1.085163264,3.897364654,2.190325941,-0.285919833,-0.306056383,6.583442603,-0.209228004,0.176085676,0.144913833,3.847860775,5.650996379,-0.079666115
3.875763874,5.283175591,11.49137083,4.380865501,2.579788638,0.974601718,6.19868228,5.442061005,10.13612078,6.392133583,0.085320624,3.74640007,12.90376451,3.181375647,0.659266579,1.761947402,8.140151325,2.551125877,6.05766228,1.438231209,2.739112965,6.82509438,13.24755937,1.15634728,6.337054393,3.729579411,-0.170320688,18.90384961,1.314724675,4.393682074,3.051902793,5.172123822,1.616588853,2.654464446,3.933032787,10.75947264,0.770793973,0.766020434,6.85989339,1.136827454,1.876056911,4.802066532,2.09642936,1.661490468,2.774514513,17.83730687,3.08913231,3.681092015,2.389232606,1.566457469,-0.033252322,11.72491007,0.495509726,1.037099647,3.959014753,4.176522608,7.833610116,1.208728287,-0.23550718,1.915586503,0.716344081,1.107659704,-0.042142077,2.0189797,2.239722056,0.975056083,0.793502413,1.800546665,3.23765907,2.501159249,5.09167253,3.996477446,4.106296365,5.919109711,-0.121607462,7.420551283,8.833572245,3.273061929,4.533827942,4.184894407,6.560803439,-0.715001747,4.337098206,2.759061618,1.299448978,5.040398951,4.190432234,-0.071527827,-0.448771802,8.655030613,0.505181718,0.533334825,0.073396684,5.205074494,6.865246663,0.134389299
4.590244458,5.783352745,13.20562112,5.023899798,3.294074352,2.331443413,7.198824003,5.72773986,11.20758478,7.534990726,0.656607472,4.317775496,13.76090737,2.967143079,0.73065972,2.262035979,8.568687323,3.265553314,6.557591418,1.79532092,4.168056417,6.896770967,14.1761308,0.942327297,7.694144104,4.158115408,-0.170320688,20.18959933,1.814760106,5.250913508,3.123260503,5.886551259,1.830697413,2.940373602,4.290069351,12.18804407,0.55654369,0.766640474,7.502715102,0.994005742,2.519038061,5.302066532,2.810785936,1.661348744,3.060246515,21.5511497,3.231989453,3.609610298,2.889268037,2.137815179,0.252426533,12.86780265,0.709653717,1.322813933,4.673477622,5.819503759,8.690770688,1.351620861,0.121635677,2.344352801,1.144862363,0.750516847,0.314965349,2.233318561,2.382472906,1.046484654,1.293608705,2.372099245,3.166159637,3.001548989,7.234919412,6.139671182,5.177689505,7.704983435,-0.121678324,8.206336431,9.476447103,3.844472785,5.533898803,4.613359543,9.060945162,-0.42925203,4.480061641,3.473187893,1.228020406,5.183433248,5.761949382,0.14286418,-0.52005865,8.583743765,0.576716582,0.319155404,0.073325823,6.490841926,7.579479231,0.562783573
5.733225609,7.497833329,15.2056034,5.952630666,3.508360067,3.25971368,8.627537155,6.227704429,11.70762021,7.534990726,1.156483464,3.674865206,15.26096051,4.181481939,1.159213433,2.833535412,9.282990753,4.051356177,6.771806271,1.438107201,5.525571298,7.25416184,15.96188052,1.228254168,9.26555496,4.443794263,-0.241766975,22.40384961,1.743366965,6.536716371,3.837475356,6.600978697,1.973377402,3.3691399,4.647088201,12.61659778,0.842293406,0.838653654,8.145536814,1.065469745,3.590572925,5.730620246,3.596535652,1.875510451,3.560281945,26.55084854,3.517686024,4.46673544,3.817874896,3.137762033,0.609480813,13.79640951,1.138083422,1.679939075,5.88794049,7.462449479,9.119342117,1.208799149,0.335921391,2.130244241,1.359094931,1.179088276,0.600644204,2.233353991,2.453795185,1.117913226,1.436572141,3.300812397,3.094642489,3.216189011,9.806702292,8.425704345,6.677707221,7.919428588,0.092518813,8.777818148,9.762214535,4.273026498,6.53398738,4.541806964,10.13249774,-0.143502314,4.480150219,2.901564452,1.228020406,5.469324688,5.904877387,0.50011333,0.194333357,8.655278629,0.505376588,0.462118839,0.073237246,6.419466501,8.150890087,0.705463562
6.019010756,8.426635058,15.7056034,5.809915246,4.079788638,4.11657309,9.556250307,7.08482957,12.20765564,7.892133583,2.013537744,3.960490915,16.04681652,5.324392228,1.302052861,3.690749131,9.425883327,5.19421332,7.34316398,1.652322054,5.883139325,7.540106426,18.39054052,1.728484468,11.05134011,5.015205119,-0.241784691,25.97518961,2.386259539,6.893947805,3.62311878,6.886834706,2.258914533,3.583602768,4.78980362,13.25941949,1.128043123,0.98207769,9.074072811,1.136933747,3.876428934,6.444870529,4.525124796,1.946832729,3.560317376,30.97929596,3.446275168,4.109592582,4.103624613,4.137726602,1.466517378,15.36787351,1.637941699,2.108475073,6.316689073,9.748252342,9.190770688,1.494548865,0.407349963,2.416135681,1.573345214,1.107659704,0.814894488,2.804817994,2.739403179,1.546484654,1.865249862,3.80095412,3.523107625,3.359435893,11.37853832,9.068968943,7.463492368,8.133944603,0.306733666,9.420693007,11.47658883,5.130169355,6.89123653,5.113093812,12.13260403,0.070818831,4.765953081,3.115655297,0.728020406,5.826644699,7.333501962,0.571630478,0.480118504,9.512474632,0.648304592,0.39079656,0.001684666,6.56237679,8.79378266,0.776714979
