Timesteps,AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
2021-05-11 02:55:00-02:00,-2.664302954,-2.785752381,-6.361780605,-2.705071999,-0.026375783,-4.057618541,-4.177432429,-3.460742665,-2.95916774,-2.009597622,-5.798572517,-1.909400231,-4.17438502,-3.763669759,-0.746186227,-2.262160559,-3.085646686,-2.856669453,-2.211159672,-0.738123066,-2.850986296,-1.402026837,-0.863194705,-2.677240883,-5.919853257,-0.853826147,-0.367670461,-10.05577831,-1.454482928,-2.914771997,-4.705802051,-2.722840093,-1.304963181,-0.951788552,-3.388746005,-4.31138904,0.261288969,-0.502708852,-2.278222834,-0.55878212,-3.956723157,-3.3434561,-3.894255055,-1.712422078,-0.084743292,-29.48782286,-0.944938529,-0.317711512,-2.261011867,-3.985811195,-5.246800802,-2.817553786,-0.573356923,-1.178360736,-3.618007803,-8.955582638,-5.687366304,-2.095228793,-1.261963115,-1.166236932,-1.125744758,-0.755154813,-0.827140932,-0.574296072,-0.720446867,-1.07575174,-0.2831086,-3.668166541,-3.173442229,-1.92611214,-9.254658471,-7.951368359,-6.112799768,-2.064128777,-0.422249033,-2.910462693,-4.06014614,-1.510191276,-4.495980296,-3.500263069,-9.180461496,-0.987201893,-2.022384449,-1.636341095,-0.648824723,-3.184901666,-6.050719596,-0.575898084,-1.527510028,-3.842819008,-2.109206745,-1.21595247,-0.449311758,-4.36233404,-2.882838709,-1.067265321
2021-05-11 03:00:00-02:00,-2.356534334,-2.631829915,-6.207781826,-2.551111376,-0.25718317,-3.750365031,-4.331106879,-3.383819588,-2.728322197,-2.009597622,-5.875781766,-1.678478375,-3.866730868,-3.60967098,-0.669224993,-2.1850467,-3.008590062,-2.85659314,-2.134122126,-0.815065222,-2.62006444,-1.171295763,-1.709291317,-2.908086426,-6.150756035,-0.699941837,-0.444631695,-9.055950011,-1.223599228,-2.914752919,-4.70582113,-2.56899394,-1.304944103,-1.028559004,-3.311842006,-4.157428417,-0.046403338,-0.194940232,-2.201223445,-0.558743963,-3.802953315,-3.420379177,-3.66352398,-1.789440546,-0.007705746,-27.33451089,-0.944843139,-0.856173051,-2.18408879,-4.062715194,-5.247182365,-2.894419628,-0.573471392,-1.178322579,-3.540970257,-8.724622626,-5.841326926,-1.941230014,-1.184963726,-1.012314465,-1.048688134,-0.83207789,-0.673294779,-0.728084991,-0.64352379,-1.075675428,-0.129090743,-3.129533299,-3.096519152,-1.92580689,-8.408390156,-7.643370801,-5.421312435,-1.217822306,-0.499133953,-2.525713761,-3.598378741,-1.74082696,-4.188154441,-3.346378759,-9.180156246,-0.91024066,-2.022365371,-1.713226015,-0.341132415,-3.261710274,-5.896739895,-0.575898084,-1.527548184,-3.38103253,-1.801342734,-1.292875547,-0.449349914,-4.054374638,-2.267320547,-1.067532415
2021-05-11 03:05:00-02:00,-2.202611867,-2.247138218,-6.053783047,-2.627919984,0.358163289,-3.366188444,-4.023242868,-3.460742665,-2.57439973,-2.009597622,-5.722240862,-0.986056213,-2.789788713,-3.301826047,-0.746109914,-2.030990687,-2.777706362,-2.471901443,-1.903238427,-0.891988298,-2.619911815,-1.094410842,-1.01692639,-2.908162739,-4.920082195,-0.699903681,-0.521592928,-7.517736488,-1.300388758,-3.22240707,-4.628955287,-2.338224709,-1.228059183,-1.028406378,-3.004187855,-3.772698564,0.261288969,-0.041017766,-2.124224055,-0.404859653,-3.879952705,-3.3434561,-3.355907985,-1.789555015,-0.007591278,-24.56575708,-0.714016674,-0.548499821,-1.953319559,-3.755022886,-5.09375593,-2.663612241,-0.573566783,-1.178303501,-3.310067479,-8.570604769,-5.918345394,-1.941077389,-1.26181049,-0.935295998,-0.894727511,-0.909000966,-0.673294779,-0.574200681,-0.566581635,-1.075618193,-0.128938118,-2.898592365,-3.096519152,-1.848616719,-7.639063996,-7.335335087,-5.883633101,0.013061394,-0.499095797,-2.448714372,-3.675091958,-1.433001105,-3.803367353,-3.115571372,-8.949100843,-0.910202504,-2.022327215,-1.867034013,-0.418055492,-3.261557649,-5.896644504,-0.575898084,-1.758355571,-3.457726669,-2.031940262,-1.369798624,-0.526330226,-3.977222624,-2.190244845,-1.067837666
2021-05-11 03:10:00-02:00,-2.202535555,-2.016292674,-5.745938114,-2.627805515,0.127336824,-3.289723242,-3.792340091,-3.537665742,-2.420477264,-2.009597622,-5.568738115,-0.60132636,-2.86671179,-3.224788502,-0.74605268,-2.030761749,-2.931495282,-2.2410559,-1.518508573,-0.8150843,-2.388989959,-1.171372076,-1.170734387,-2.985162128,-5.227831737,-0.546019371,-0.36778493,-6.979542044,-1.300236133,-2.991561527,-4.628993443,-1.876686247,-1.228135495,-1.028253753,-2.773494937,-3.541814864,0.338212046,-0.040941453,-2.047224666,-0.635590728,-3.726163785,-3.343437022,-3.432945531,-1.789688562,-0.161322963,-22.95073494,-1.175555135,-0.317768747,-2.030261714,-3.601176732,-4.863482731,-2.2789587,-0.573643096,-1.332149655,-3.002222546,-8.262759836,-5.687633398,-1.864001687,-1.261734177,-0.935162451,-0.817670887,-0.985943122,-0.750217855,-0.65110468,-0.566581635,-1.075560959,0.025060661,-3.129228049,-2.94265392,-1.848349625,-7.485141529,-7.027299372,-6.115127301,0.090060783,-0.422134564,-2.525599292,-3.367208869,-1.432886637,-3.803176572,-3.26937937,-8.948890984,-0.910164347,-2.099231214,-1.79007278,-0.341132415,-3.261385946,-5.665798961,-0.345128854,-1.604547574,-3.61140112,-2.031787637,-1.21595247,-0.526406538,-3.438589382,-2.65164976,-0.837373685
2021-05-11 03:15:00-02:00,-2.048613088,-1.785447131,-5.361170104,-2.319998739,0.434971897,-2.520950349,-3.63836039,-3.383819588,-2.420400951,-2.009597622,-5.492196601,-0.139711586,-2.405268719,-2.686250651,-0.745976367,-1.722840504,-2.392995587,-2.087152512,-1.595317181,-0.815141534,-2.004221949,-1.017564078,0.213938232,-2.75446921,-5.150946817,-0.545981214,-0.213996011,-5.825962984,-1.146199198,-2.529946753,-4.628974365,-1.79976317,-1.151288731,-1.258870359,-2.389051255,-3.003238857,0.415154201,0.112981013,-1.8933022,-0.481706418,-3.033894249,-2.958783481,-3.048444615,-1.71291811,-0.00736234,-21.10484819,-0.867862827,-0.010114595,-1.337992178,-3.293484424,-4.710151687,-2.201997467,-0.573719408,-1.178341657,-2.848223767,-7.647222595,-5.764594631,-1.633079831,-1.184734788,-0.935009826,-0.586749032,-0.832135124,-0.750217855,-0.420335449,-0.489696715,-0.998599725,0.102136363,-2.744536352,-2.865692687,-1.463467146,-6.485065217,-6.180802119,-6.4235255,0.397829404,-0.499019485,-2.140945751,-3.674710395,-1.432772168,-3.572216559,-3.192418137,-8.871796203,-0.833203114,-2.022308137,-1.790034624,-0.264209338,-3.107368089,-5.12726111,-0.268205777,-1.527662653,-3.611248495,-1.723942704,-0.831337085,-0.526482851,-2.976898295,-2.651535291,-0.991486933
2021-05-11 03:20:00-02:00,-2.125459853,-1.631505586,-5.207171325,-2.089134117,0.742626049,-1.982889451,-3.561265609,-3.306877433,-2.189555408,-1.855751468,-5.492559086,0.244922877,-1.94380657,-2.532290028,-0.822804053,-1.722611566,-2.239073121,-2.087114355,-1.210587328,-0.815198769,-1.773242859,-0.402198541,1.06016839,-2.600718447,-4.458620046,-0.392096904,-0.214053245,-4.056942074,-1.299816414,-2.222159054,-4.55203221,-1.492070863,-1.151365043,-1.181794657,-2.081549729,-2.772355157,0.10750005,-0.194634982,-1.739379733,-0.558591338,-2.418490556,-2.958764402,-3.048559084,-1.559205503,-0.238017102,-19.72042359,-1.021708981,-0.087075829,-1.568818644,-3.216561347,-4.63374372,-1.894267003,-0.573795721,-1.101456737,-2.617340068,-7.493223816,-5.072325095,-1.556004129,-1.184658475,-0.9348572,-0.509692408,-0.909077279,-0.673294779,-0.65110468,-0.335869639,-0.921638492,0.102308066,-2.2829025,-2.6348853,-1.309315742,-5.638777823,-4.872728249,-6.80880862,0.8594251,-0.575904405,-2.063984518,-2.905288845,-1.201888468,-3.648948855,-2.884687673,-8.640817113,-0.833164958,-2.022308137,-1.866919544,-0.264209338,-2.64569608,-4.742550334,-0.268205777,-1.450777733,-3.303384484,-1.49300177,-0.831337085,-0.449636086,-2.669034284,-2.18988236,-0.991754027
2021-05-11 03:25:00-02:00,-1.971537386,-1.554468041,-4.976249469,-1.627519343,0.511818662,-1.906309781,-3.330305597,-2.768377738,-1.881786787,-1.701905314,-5.415960337,0.475730264,-1.866940728,-2.685983557,-1.053458815,-1.645459551,-2.238996808,-2.087038043,-0.825857474,-0.815236925,-1.849879764,-0.17142931,0.906398549,-2.446986762,-4.073928349,-0.161289517,-0.367918477,-3.749364236,-1.376510553,-1.452832894,-4.475109133,-1.338205631,-1.228364433,-0.797026647,-1.774029125,-2.772240688,-0.046307948,-0.271481746,-1.431611113,-0.404707028,-2.879933627,-2.881841326,-3.43326986,-1.482396895,-0.160979556,-16.87432698,-1.098632058,0.220578323,-1.568875878,-3.062715194,-4.326566522,-1.894228847,-0.573891111,-1.17841797,-2.463417601,-7.339263194,-4.533920791,-1.402024428,-1.184582163,-1.01164673,-0.586501016,-0.986000356,-0.827140932,-0.65110468,-0.335869639,-0.921600336,-0.128289461,-1.975095723,-2.634847144,-1.155107103,-5.177086737,-4.256942992,-6.501707735,1.167174642,-0.575866249,-1.448561746,-2.67434791,-1.124850922,-3.802623306,-2.961572593,-8.563684177,-0.986972955,-1.560769675,-1.866881388,-0.264209338,-2.184062228,-4.665531867,-0.42205193,-1.220046658,-2.995539551,-1.185137759,-0.523644777,-0.372789322,-2.59188227,-2.035921738,-0.992021121
2021-05-11 03:30:00-02:00,-2.048384151,-1.785122802,-4.360712229,-1.627443031,0.89639589,-1.137441496,-3.253153583,-2.229878043,-0.804787398,-1.240366853,-5.185477279,0.783498884,-0.174709348,-2.531984778,-0.899498192,-1.337538306,-2.162035575,-1.93307742,0.020410841,-0.815294159,-2.003420667,-0.094506233,2.521859477,-2.293255077,-3.843101884,0.06951787,-0.2909954,-2.057132856,-1.068608386,-1.375833505,-4.552013132,-0.645859782,-1.228440745,-0.719950945,-1.235777446,-2.233664681,0.338345593,-0.271405434,-1.4315348,-0.635438103,-2.418280696,-2.57412994,-3.433346172,-1.405588287,-0.237788164,-14.41278852,-0.329401289,0.835924782,-1.645856189,-2.90886904,-4.557831785,-1.817267614,-0.573986502,-1.255379203,-2.386418212,-7.108455806,-4.303227873,-1.478852114,-1.261428927,-0.934609185,-0.663309624,-0.909077279,-0.750217855,-0.65110468,-0.182023485,-0.767716026,0.025709318,-1.667269868,-2.404039757,-1.231667695,-5.100049191,-3.718138047,-5.886819151,1.167250954,-0.498905016,-1.448504512,-2.674176207,-1.047813376,-3.57170145,-2.499995975,-8.48655124,-0.833088645,-1.330000444,-1.712997078,-0.110363184,-2.030139761,-4.126994016,-0.345128854,-1.297007891,-2.226194313,-0.800369749,-0.139029393,-0.295961636,-2.745480408,-1.420422653,-0.992307293
2021-05-11 03:35:00-02:00,-2.20217307,-1.554239103,-3.360559604,-1.627366718,1.588665426,-0.291707369,-2.71442495,-1.922147579,0.118365838,-0.778828391,-5.031879141,0.706671198,-0.636324122,-2.224139845,-0.74553757,-1.414251523,-1.085074342,-1.47142449,0.789756079,-0.353812932,-2.387788036,-0.094506233,4.829609019,-2.293369546,-3.920101273,-0.007367051,-0.367918477,0.404272059,-1.068417604,-1.221911038,-4.551974976,-0.184302242,-1.151593981,-1.104413704,-1.236006383,-1.233550212,0.415306826,-0.271329121,-1.200689257,-0.558476869,-2.110550232,-1.881803169,-3.0488071,-1.328779679,-0.391519849,-13.64361498,-0.098632058,0.297406009,-1.415163271,-2.678118887,-4.48140474,-1.894152534,-0.420216661,-0.947725052,-2.386341899,-6.723802266,-4.149458031,-1.401833646,-1.184429538,-0.934494716,-0.509349001,-0.755231125,-0.750217855,-0.497239448,0.048745746,-0.613831716,0.10278502,-1.590194166,-2.096309293,-1.3083046,-5.176934112,-3.179466649,-5.348834566,1.167308189,-0.498866859,-1.371524201,-1.750908503,-0.893871832,-2.802298977,-2.038419358,-7.79401461,-0.833050489,-1.253077367,-1.712958921,-0.033440107,-1.79927514,-3.66539832,-0.498975007,-1.450892201,-1.918387536,-1.030986355,-0.446721701,-0.296037948,-1.514501317,-0.728000492,-0.761843313
2021-05-11 03:40:00-02:00,-1.817519529,-0.861816942,-2.3603879,-1.088828867,1.742473423,0.092507374,-2.483388625,-1.460570962,0.349211381,-0.471136083,-4.647492694,1.552939513,-0.021034898,-1.839371835,-0.976192332,-1.029445357,-0.085036185,-1.086694636,2.097562855,-0.276928012,-1.926058793,0.213186075,6.06037825,-2.062714784,-2.997196054,0.069594183,-0.2909954,2.25027328,-0.683611438,-0.837219341,-4.398090666,-0.107379165,-0.69015091,-1.104280157,-0.697716548,0.151179641,0.030729598,-0.194329732,-0.892920637,-0.481515636,-1.802934237,-1.266418554,-2.433498797,-1.405817225,-0.237559226,-11.56684453,-0.021728059,-0.087285688,-1.415239584,-2.601233966,-3.712670002,-2.124883609,-0.26644682,-0.793917054,-1.847804048,-6.031437339,-3.534149729,-1.09402687,-1.107430148,-0.934380247,-0.432311455,-0.755231125,-0.750217855,-0.343374216,0.43336113,0.001591056,0.102937645,-0.590060619,-1.942424983,-1.308056584,-4.792356883,-2.871659873,-5.118561367,0.782711882,-0.421905626,-1.525351276,-2.443044492,-1.047660751,-1.64828112,-0.884496891,-6.870708749,-0.833012333,-1.022308137,-1.328305381,-0.033440107,-0.491468363,-3.280725701,-0.42205193,-1.297084204,-0.610542604,-0.723141422,-0.292875547,-0.296057027,-0.975829919,0.425960131,-0.762148563
