Timesteps,AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
2021-05-11 02:55:00-02:00,-2.529038912,-2.162698352,-6.160944982,-2.604873586,0.144125591,-4.318626631,-4.0451255,-3.410280974,-2.885087306,-1.782834801,-5.373244373,0.090847785,-2.459298023,-2.857171743,-1.215909212,-2.22175305,-1.852569,-2.618879465,-2.853196455,-0.723070411,-2.99979582,-1.550473877,2.329857035,-2.638073453,-4.86380167,-0.543997087,-0.032906267,-5.144587068,-1.626605944,-2.852844341,-4.627429036,-2.793925258,-0.69282185,-1.055897984,-3.050452354,-4.721111262,-0.289687832,-0.781650397,-2.5935464,-0.64522519,-2.265045043,-2.515254787,-3.110295958,-1.742374764,-0.345503366,-26.81073952,-1.638009348,-0.467742037,-2.188343216,-3.548177648,-5.723964263,-2.766252656,-0.68862707,-1.421683385,-4.029962168,-9.908440544,-6.685820974,-2.489421406,-1.283330636,-1.726027835,-1.08367745,-0.527972273,-1.062221824,-1.128954955,-1.116032185,-0.701877351,-1.086412935,-5.071554819,-3.105161552,-1.486685247,-8.679509661,-6.476246259,-4.946571898,-3.087137019,-1.330654863,-2.551335709,-3.462008167,-2.365292772,-4.244721138,-3.878773448,-10.05839953,-1.004524848,-2.800772728,-2.587195796,-0.25997399,-3.990380909,-6.766607874,-0.735811088,-1.915387775,-4.861839917,-3.3105384,-1.607035345,-0.419702478,-4.967053973,-2.88108352,-0.857787299
2021-05-11 03:00:00-02:00,-2.375116446,-2.085737119,-6.00707975,-2.989260033,0.605530505,-3.472987894,-4.045030109,-3.717954203,-2.885125463,-1.859757878,-5.296302218,0.78292654,-2.459469727,-2.780363135,-1.215909212,-2.067811505,-1.621704378,-2.542013623,-2.85304383,-0.876973799,-3.076432725,-1.550397564,2.329628097,-2.714977452,-5.017800449,-0.467112167,-0.109886579,-4.837409871,-1.549644711,-2.698788328,-4.704333034,-2.717002181,-0.692650147,-1.363533057,-3.127547134,-4.490303875,-0.366591831,-0.781459616,-2.670469477,-0.568244879,-2.034180422,-2.438293554,-2.956487961,-1.742451077,-0.422311974,-25.27223983,-1.48399149,-0.929261421,-2.111439217,-3.394255181,-5.723983342,-2.535521582,-0.688741539,-1.498682775,-3.87605878,-9.600652846,-6.455166212,-2.412574641,-1.283330636,-1.725951523,-1.16046698,-0.528048585,-1.139221213,-1.128916798,-0.962224187,-0.701877351,-0.85558647,-4.99476529,-3.182122785,-1.409475998,-8.60231949,-5.783785941,-5.254493144,-2.779463789,-1.330731176,-2.551164005,-4.231124467,-2.442254005,-3.936990674,-3.801888527,-9.596670288,-1.081409769,-2.877714883,-2.279503488,-0.106127836,-3.836458443,-6.3049931,-0.658888011,-1.684542232,-5.01549529,-3.002636233,-1.376227958,-0.419816947,-4.736132117,-2.727275523,-0.858168862
2021-05-11 03:05:00-02:00,-2.298097978,-1.85494881,-5.85319544,-2.835223098,0.759243112,-3.319637772,-3.737223332,-3.333319741,-2.577471311,-1.782834801,-4.988571754,1.62883237,-1.690391583,-2.549708373,-0.908216904,-1.683119808,-1.544704989,-2.465128702,-2.545198897,-0.877050112,-3.306934861,-1.473398174,1.867784386,-2.561131298,-5.17178015,-0.390227246,0.043921419,-4.376462831,-1.318837324,-2.46788555,-4.781217955,-2.409309874,-0.615536289,-1.055783515,-2.743198844,-3.951785102,-0.443495829,-0.704364835,-2.439700246,-0.414360569,-1.803411191,-2.438255398,-2.802660885,-1.74252739,-0.576043659,-23.58019923,-1.176108401,-0.69849219,-2.034516141,-3.240351793,-5.416386425,-2.612482815,-0.688856008,-1.729528318,-3.876039701,-9.831326686,-6.37830037,-2.489574031,-1.283330636,-1.802817365,-1.160295277,-0.758894129,-1.139297526,-1.205801719,-1.116108497,-0.778800428,-0.855491079,-5.071840992,-3.182084629,-1.332304906,-7.909916407,-5.399170557,-5.024029163,-1.856444101,-1.253884411,-2.320223071,-4.154086921,-2.365350007,-4.090760516,-3.725041763,-9.673383505,-1.158294689,-2.800810884,-2.433292407,-0.029204759,-4.144036282,-6.304974022,-0.735811088,-1.838312073,-5.01528543,-2.92546514,-1.376189802,-0.419912338,-4.505229339,-2.419640449,-0.781684583
2021-05-11 03:10:00-02:00,-2.374887508,-1.931852809,-5.314657589,-2.681186162,1.297532947,-3.089459964,-3.583243631,-3.256358507,-2.500567313,-1.782834801,-4.911572364,1.551584965,-1.690582364,-2.395976688,-0.831293827,-1.606120418,-1.160089604,-2.080570552,-1.929661656,-1.030991656,-3.383552688,-1.011764322,1.867345588,-2.407266066,-4.710337079,-0.313342325,-0.033077971,-3.069609962,-1.24187609,-2.006251698,-4.781141642,-2.255444642,-0.538460587,-1.132668436,-2.58965794,-3.644016482,-0.520418906,-0.627270055,-2.362777169,-0.49124549,-1.726488114,-2.284390166,-2.571872576,-1.742603702,-0.499006113,-21.73478943,-0.791283157,-0.467761116,-1.957593064,-3.16339056,-5.185674428,-2.689444048,-0.688970476,-1.883450784,-3.568347394,-9.600481142,-6.455261603,-2.412727266,-1.283330636,-1.725856132,-1.00627742,-0.835893518,-1.139373838,-1.205763563,-1.116146654,-0.701877351,-0.778472611,-4.841205308,-3.335892626,-1.485903043,-7.679261645,-5.014650563,-6.178314114,-1.087270566,-1.177037647,-1.93547414,-3.846318301,-2.134618932,-3.706030662,-3.955925463,-9.82711519,-1.158256533,-2.877733961,-2.433216095,-0.029204759,-3.990037503,-6.074223869,-0.735811088,-1.838235761,-5.015075571,-2.848274969,-1.529997799,-0.419988651,-4.274383796,-2.573543838,-0.705219381
2021-05-11 03:15:00-02:00,-2.143965652,-1.547218346,-5.314581277,-2.834822457,0.681881238,-3.090108621,-3.12149531,-3.102474197,-2.115971006,-1.552065571,-4.526899745,2.089703097,-2.15238792,-2.319149002,-0.908197826,-1.452197952,-0.929301295,-1.926781632,-1.6987398,-0.954106736,-3.383152047,-0.703976624,1.636099404,-2.022612525,-4.325607226,-0.313380482,-0.033173361,-3.301275866,-1.318761011,-1.775367998,-4.627200098,-2.178483408,-0.692154115,-0.901861049,-1.820713343,-3.259324785,-0.443495829,-0.627098352,-2.132007938,-0.491188255,-1.803373035,-2.361294164,-2.418026422,-1.81962217,-0.729660875,-19.58183995,-0.714112064,-0.083183887,-1.880669987,-3.086429327,-4.878001199,-2.458693896,-0.689084945,-1.729680943,-3.260655086,-8.908058981,-6.301453605,-2.258938347,-1.129465404,-1.648875821,-0.621490332,-0.835969831,-1.062527074,-1.128802329,-0.885415579,-0.701877351,-0.163011683,-4.302858238,-3.258931393,-1.100982409,-7.294760729,-5.322209323,-6.71721445,-0.39500103,-1.100190883,-1.627648285,-3.692395835,-1.903868779,-3.475127884,-3.571424547,-9.519308413,-1.004372223,-2.723868729,-2.510062859,0.047718318,-3.68219257,-5.920358637,-0.658888011,-1.83814037,-4.861019557,-2.540315567,-1.529959643,-0.49698804,-3.658922868,-2.342793685,-0.705658179
2021-05-11 03:20:00-02:00,-2.066870872,-1.316391881,-5.006793578,-2.757670442,0.527710756,-2.321373883,-2.967286672,-2.948608965,-2.039086085,-1.552065571,-4.296092358,2.089455081,-1.383386088,-2.473052391,-0.90815967,-1.221352409,-0.544647754,-1.926819789,-1.390875789,-0.877183659,-2.998078787,-0.319304005,2.250930753,-1.714882061,-3.863820748,0.071196747,0.120615558,-1.840366983,-1.241799778,-1.544427064,-4.39629732,-2.178426174,-0.692039647,-0.824899816,-2.051673355,-3.02849832,-0.443495829,-0.626945727,-1.901238707,-0.337284867,-2.034046875,-2.36123693,-2.187257192,-1.742813562,-0.729546406,-18.04421785,-0.713940361,0.301393341,-1.726823833,-3.240237324,-4.49342397,-2.535616973,-0.689199414,-1.652815101,-3.183712931,-8.292521741,-6.224587763,-2.33589958,-1.052504171,-1.571857353,-0.698279862,-0.836027065,-0.908738155,-0.897994942,-0.885434657,-0.624954274,-0.086012294,-4.072222555,-3.18197016,-1.177504844,-6.448530571,-4.937288688,-6.409770158,0.451095582,-1.100267195,-1.473687662,-3.153877062,-1.673061392,-3.474994337,-3.417692862,-9.442175477,-0.850487913,-2.570003497,-2.510005625,0.047718318,-3.374366715,-5.843416482,-0.735811088,-1.838044979,-4.860809698,-2.463144474,-1.606844564,-0.497064353,-3.35113517,-2.035101377,-0.70605882
2021-05-11 03:25:00-02:00,-1.989776092,-1.085527259,-4.314371417,-2.834364581,0.450425194,-2.244908682,-3.043770951,-2.717839734,-1.962220243,-1.552065571,-4.142208048,2.319995374,-1.229749794,-2.319244393,-0.831179359,-1.298199173,-0.467724678,-1.926857945,-1.313761931,-1.031048891,-2.536158762,-0.242342772,2.865704868,-1.714843905,-3.863668123,0.225004744,0.043635247,-1.610112862,-1.318684698,-0.774986435,-4.395972992,-2.332215093,-0.768905489,-0.978688735,-1.821037672,-2.951537087,-0.366572752,-0.780639255,-1.978161784,-0.260342712,-1.495432711,-2.284256619,-1.956487961,-1.742928031,-0.729431937,-16.73726959,-0.944614201,-0.006337123,-1.880669987,-2.93250686,-4.493443049,-2.458693896,-0.612390806,-1.652853257,-2.876001545,-7.830849732,-5.993894845,-2.182091583,-0.898619861,-1.264069655,-0.313588165,-0.759142145,-0.831853234,-0.667187555,-0.80851158,-0.47110812,0.067910173,-4.149298257,-2.951162773,-1.177085125,-6.525358257,-4.629424677,-6.563749859,0.374096193,-1.100343508,-1.396669195,-3.615377367,-1.826831234,-3.782572176,-3.340884254,-9.134292388,-0.850449756,-2.416176421,-2.356121315,0.047718318,-3.297348247,-5.766493405,-0.581964934,-1.761064668,-4.399099533,-2.232165384,-1.760652561,-0.497140665,-3.27413578,-1.9581783,-0.629517306
2021-05-11 03:30:00-02:00,-1.91270039,-0.931585714,-4.083525874,-2.603366413,0.450005475,-1.399308102,-2.274101385,-2.256282195,-1.039219632,-1.398219417,-4.065246815,2.165901204,-1.92232458,-2.011590242,-0.908026123,-1.144276706,-0.006205294,-2.157665332,-0.852032688,-0.95416397,-2.074334129,0.065387692,3.018940521,-1.637882672,-4.094456432,0.301889665,-0.187229375,0.158660032,-1.164800388,-0.544045501,-4.318611117,-1.562946168,-0.768924567,-1.209381653,-1.513478911,-1.95149893,0.018042632,-0.703563553,-1.824296552,-0.260342712,-0.956875782,-1.745756924,-1.725756886,-1.743042499,-0.652394391,-13.73801364,-1.175307119,0.070547798,-1.880669987,-2.932468704,-4.416519972,-2.227924665,-0.612505275,-1.499045259,-2.952924622,-7.830754341,-5.532432696,-2.028283585,-0.744735551,-0.956301034,-0.159665698,-0.605334147,-0.908814467,-0.820995553,-0.500819273,-0.394185043,0.298755716,-3.610989343,-2.566509232,-1.099856798,-5.294627182,-3.552425288,-5.871747417,0.912443262,-1.10041982,-1.242708572,-3.615358289,-1.903677998,-3.090150015,-3.033287337,-8.826447455,-0.696565446,-2.10852227,-1.971467774,0.124641395,-2.681906398,-5.38187802,-0.351195703,-1.607180358,-3.706677372,-2.155051526,-1.299075943,-0.497216978,-2.504828698,-1.496639839,-0.62987979
2021-05-11 03:35:00-02:00,-1.681797612,-1.008451557,-3.31423787,-2.372349166,0.372758069,-0.784553065,-2.350623821,-1.563936346,-0.346988253,-1.167450186,-3.757516351,2.473345496,-1.614975679,-1.780859167,-0.831026733,-0.913431163,0.762968241,-2.080780411,-0.236457291,-0.723413817,-1.99712488,0.29619508,5.479792169,-1.560921438,-4.017609668,0.532620739,-0.033459534,2.619740618,-0.933993001,-0.543931032,-4.31817232,-1.10136955,-0.769019958,-0.440074571,-1.436708459,-0.951460774,-0.058880445,-0.39571862,-1.593489165,-0.183419635,-0.80301055,-1.207219073,-1.571948889,-1.820080045,-0.729202999,-12.58500692,-0.94451881,0.762798256,-1.726842911,-2.547834241,-4.185750741,-2.304847742,-0.612619744,-1.345237262,-2.645232314,-7.59988972,-5.378662854,-1.797533433,-0.821620472,-0.725455491,-0.082666309,-0.605372303,-0.9857757,-0.74403432,-0.346973119,-0.548031197,0.22192803,-3.457295815,-2.48952892,-1.099646938,-4.83329858,-3.244771137,-5.872243449,0.68148325,-1.023573056,-1.01184395,-3.384589058,-1.74977461,-2.474650931,-2.802594419,-8.287871448,-0.542681136,-2.031580115,-1.971410539,0.047718318,-2.604907008,-5.304954943,-0.505041857,-1.299449894,-3.245043519,-1.770226281,-1.068249478,-0.420370213,-2.65859854,-1.188947531,-0.630242275
2021-05-11 03:40:00-02:00,-0.912452374,-0.623721704,-2.160315404,-1.67977438,0.988009138,-0.400567259,-2.427165335,-0.871552341,0.345243127,-0.628988648,-3.603632041,2.934616863,-0.615223695,-0.780878245,-0.754008266,-0.144105003,1.685987929,-1.619280106,0.686810413,-0.41572151,-1.842973475,0.911636929,8.63316137,-1.483960205,-3.402320443,0.994121045,-0.110420767,4.542378744,-0.549320382,0.148510207,-4.240810446,-0.409004623,-0.538365196,-0.363075182,-1.052283856,0.433192767,0.171888786,-0.549412149,-0.747297163,0.047368674,-0.341567479,-0.668662144,-1.495063968,-1.820194514,-0.72908853,-9.970385433,-0.329134195,0.608894867,-1.419169681,-2.393969009,-3.647289202,-1.997174512,-0.68965729,-1.03758311,-2.337540007,-6.753602327,-4.76337363,-1.874456509,-0.821582315,-0.648456102,-0.159513073,-0.528487383,-0.985813857,-0.513226933,-0.270050042,-0.624954274,0.375907731,-2.995909978,-2.412548609,-1.022494924,-5.448931212,-3.014078218,-5.872720402,-0.010996146,-0.715937983,-1.088671637,-2.769185365,-1.365121069,-1.936074923,-2.41801719,-7.441641289,-0.696489134,-1.493042264,-1.740564996,0.047718318,-1.681696538,-3.997281714,-0.581964934,-1.222488661,-2.475679203,-1.770016422,-0.837403935,-0.497388681,-2.427752996,-0.112024454,-0.553700761
